id,product_name,category,brand,price,rating,in_stock,description
1,CoreX Gaming Console 284Max,Gaming,CoreX,1631.57,2.5,True,CoreX Gaming Console 284Max - Engineered for gamers and power users. Perfect for office work.
2,Pulse Gaming Mouse 307X,Peripherals,Pulse,2265.3,4.9,True,Pulse Gaming Mouse 307X - Built with cutting-edge technology for superior experience. Perfect for gaming.
3,HyperX Backpack 525Pro,Accessories,HyperX,481.48,4.5,True,HyperX Backpack 525Pro - Compact and lightweight for easy portability. Perfect for travel.
4,Prime Chromebook 871Lite,Laptops,Prime,2213.21,4.4,False,Prime Chromebook 871Lite - Designed for everyday performance and reliability. Perfect for multimedia.
5,Aero Gaming Chair 347S,Gaming,Aero,988.07,2.7,True,Aero Gaming Chair 347S - Comfortable ergonomic design with long-lasting battery life. Perfect for office work.
6,Fusion 4K Monitor 352X,Peripherals,Fusion,2899.61,1.6,False,Fusion 4K Monitor 352X - Optimized for productivity and entertainment. Perfect for daily use.
7,Eclipse Gaming Laptop 162Lite,Laptops,Eclipse,830.01,4.7,True,Eclipse Gaming Laptop 162Lite - Compact and lightweight for easy portability. Perfect for daily use.
8,Vertex Laptop Sleeve 463X,Accessories,Vertex,1229.91,2.6,False,Vertex Laptop Sleeve 463X - Premium build quality with advanced features. Perfect for office work.
9,Strive Ultrabook 890Pro,Laptops,Strive,2225.25,4.7,True,Strive Ultrabook 890Pro - Comfortable ergonomic design with long-lasting battery life. Perfect for daily use.
10,Zenith Smartwatch 953X,Electronics,Zenith,2692.29,3.4,False,Zenith Smartwatch 953X - Engineered for gamers and power users. Perfect for gaming.
11,Zenith Controller 901Pro,Gaming,Zenith,2754.5,4.0,True,Zenith Controller 901Pro - Optimized for productivity and entertainment. Perfect for multimedia.
12,Volt Noise Cancelling Headphones 787Lite,Audio,Volt,1704.61,4.4,True,Volt Noise Cancelling Headphones 787Lite - Built with cutting-edge technology for superior experience. Perfect for multimedia.
13,Nimbus Laptop Sleeve 616Pro,Accessories,Nimbus,324.96,1.6,True,Nimbus Laptop Sleeve 616Pro - Built with cutting-edge technology for superior experience. Perfect for travel.
14,Zenith Business Laptop 538S,Laptops,Zenith,2236.24,1.0,False,Zenith Business Laptop 538S - High durability with modern aesthetics. Perfect for travel.
15,Vertex Chromebook 366X,Laptops,Vertex,483.7,1.7,False,Vertex Chromebook 366X - Engineered for gamers and power users. Perfect for office work.
16,Eclipse Soundbar 370X,Audio,Eclipse,1508.06,2.0,True,Eclipse Soundbar 370X - Designed for everyday performance and reliability. Perfect for multimedia.
17,CoreX Mechanical Keyboard 619Lite,Peripherals,CoreX,1368.0,3.9,False,CoreX Mechanical Keyboard 619Lite - Engineered for gamers and power users. Perfect for travel.
18,Eclipse Controller 909S,Gaming,Eclipse,220.45,3.4,False,Eclipse Controller 909S - Engineered for gamers and power users. Perfect for office work.
19,Quantum Running Shoes 443Max,Footwear,Quantum,957.97,4.9,True,Quantum Running Shoes 443Max - Optimized for productivity and entertainment. Perfect for daily use.
20,Eclipse Ultrabook 424Max,Laptops,Eclipse,1463.16,1.5,False,Eclipse Ultrabook 424Max - Designed for everyday performance and reliability. Perfect for gaming.
21,Strive Soundbar 840Lite,Audio,Strive,683.33,3.6,False,Strive Soundbar 840Lite - Engineered for gamers and power users. Perfect for multimedia.
22,Quantum Webcam 131S,Peripherals,Quantum,2980.68,2.6,True,Quantum Webcam 131S - Engineered for gamers and power users. Perfect for office work.
23,HyperX Gaming Mouse 114S,Peripherals,HyperX,376.47,4.2,True,HyperX Gaming Mouse 114S - Optimized for productivity and entertainment. Perfect for multimedia.
24,NovaTech Chromebook 452S,Laptops,NovaTech,800.5,2.6,False,NovaTech Chromebook 452S - Compact and lightweight for easy portability. Perfect for travel.
25,Eclipse Sandals 472S,Footwear,Eclipse,29.83,3.1,False,Eclipse Sandals 472S - Comfortable ergonomic design with long-lasting battery life. Perfect for daily use.
26,Zenith Backpack 818Max,Accessories,Zenith,172.17,2.3,False,Zenith Backpack 818Max - Designed for everyday performance and reliability. Perfect for travel.
27,Strive Controller 616Max,Gaming,Strive,2413.66,1.8,False,Strive Controller 616Max - Compact and lightweight for easy portability. Perfect for daily use.
28,Volt Webcam 985Max,Peripherals,Volt,439.03,4.1,True,Volt Webcam 985Max - Optimized for productivity and entertainment. Perfect for daily use.
29,Zenith 4K Monitor 733X,Peripherals,Zenith,849.99,4.5,False,Zenith 4K Monitor 733X - Comfortable ergonomic design with long-lasting battery life. Perfect for office work.
30,Orbit Smartphone 289Lite,Electronics,Orbit,1066.76,2.6,True,Orbit Smartphone 289Lite - Compact and lightweight for easy portability. Perfect for gaming.
31,Quantum Smart Wallet 754Pro,Accessories,Quantum,94.1,3.0,True,Quantum Smart Wallet 754Pro - Designed for everyday performance and reliability. Perfect for gaming.
